,Title,Topic,Title Length,Title Parsed,Title Parsed Length,Topic Codes
289,Lesson 5. Indices | Maths Session for Grade 07,Indices,46,indices session,15,7
290,Drawing Different Types of Lines | Maths For Class 2 | Maths Basics For CBSE Children,Angles,85,basics children type line,25,8
291,Class 5 || Maths || Division,Perimeter,28,division,8,9
292,Lesson 1. Number Patterns | Maths Session for Grade 08,Number Patterns,54,pattern session,15,3
293,Symmetry | Class 7 | Maths| CBSE | ICSE | FREE Tutorial,Symmetry,55,free icse tutorial symmetry,27,1
294,9 Incredible Science Facts You Probably Didn't Learn At School,Indices,62,probably facts incredible science didnt,39,7
295,Algebra Basics: What Are Polynomials? - Math Antics,Algebra Expression,51,basics algebra,14,5
296,Math Videos:  How To Learn Basic Arithmetic Fast - Online Tutorial Lessons,Operations of Whole Number,74,lessons online basic tutorial arithmetic fast videos,52,2
297,Negative Numbers Subtracting (Easy Method,Directed Numbers,41,negative subtract easy method,29,6
298,"Speed, Distance, Time | Mathematics Grade 5 | Periwinkle",Angles,56,time,4,8
299,Lesson 4. Factors and Multiples (Part I) | Maths Session for Grade 07,Factors and Multiplication,69,multiples factor session,24,4
300,Factors for the First Time,Factors and Multiplication,26,time factor first,17,4
301,Lesson 6. Solids | Maths Session for Grade 08,Algebra Expression,45,session,7,5
302,Grade 8 Lessons 1 - Numbers Patterns,Number Patterns,36,lessons pattern,15,3
303,Mathematics - Grade 5: Union and Intersection of Sets,Sets,53,union set intersection,22,0
304,Lesson 7. Factors | Maths Session for Grade 08,Number Patterns,46,factor session,14,3
305,Lesson 1. Number Patterns | Maths Session for Grade 08,Number Patterns,54,pattern session,15,3
306,Lesson 2. Sets | Maths Session for Grade 07,Sets,43,set session,11,0
307,Numbers & Place value - Part 2 | 5th std Maths Syllabus | Mathematics,Factors and Multiplication,69,syllabus place std value,24,4
309,Science | Grade 7 Science 11th Lesson,Sets,37,science,7,0
310,Introduction to Geometry,Angles,24,geometry,8,8
311,How to become a Math Genius.\u2714\ufe0f How do genius people See a math problem! by mathOgenius,Indices,96,problem people genius,21,7
312,Math Antics - Exponents and Square Roots,Indices,40,root exponents square,21,7
313,Order Of Operations - DMAS | Mathematics Grade 4 | Periwinkle,Operations of Whole Number,61,order operations,16,2
314,Basics of Algebraic Expressions (GMAT/GRE/CAT/Bank PO/SSC CGL) | Don't Memorise,Algebra Expression,79,memorise dont basics algebraic expressions,42,5
315,Negative and Positive Numbers - Basic Mathematical Operations,Directed Numbers,61,negative basic operations mathematical positive,47,6
316,Number Patterns - Grade 8 - 1st lesson - English Medium - Sri Lankan National Curriculum,Number Patterns,88,english lankan curriculum national sri st pattern medium,56,3
317,"01 - Introduction to Physics, Part 1 (Force, Motion & Energy) - Online Physics Course",Angles,85,online course,13,8
318,Binomial theorem | Polynomial and rational functions | Algebra II | Khan Academy,Symmetry,80,algebra theorem rational function,33,1
319,5th std Maths Syllabus | Mathematics | Time Part-1 | Exercises & Activities,Symmetry,75,std syllabus time exercise activities,37,1
320,Triangle angle example 3 | Angles and intersecting lines | Geometry | Khan Academy,Angles,82,angle example triangle geometry intersect line,46,8
321,Directed numbers | Addition | Subtractio,Directed Numbers,40,addition direct,15,6
322,Rules Of Divisibility | Mathematics Grade 4 | Periwinkle,Directed Numbers,56,divisibility rule,17,6
323,Patterns in sequences 2 | Linear equations | Algebra I | Khan Academy,Number Patterns,69,linear algebra sequence pattern equations,41,3
324,Introduction of SET | Chapter 1 | Class 6 | Math Study Nepal,Sets,60,set study,9,0
325,Introduction to Algebra | Ap&TS syllabus Class 6 Maths | Full lesson,Algebra Expression,68,syllabus full algebra apts,26,5
326,Number Patterns - Grade 8 - 1st lesson - English Medium - Sri Lankan National Curriculum,Number Patterns,88,english lankan curriculum national sri st pattern medium,56,3
327,"Place Value - Using Hundreds, Tens, and Ones",Operations of Whole Number,44,place ones tens value use,25,2
328,The Distributive Property In Arithmetic,Operations of Whole Number,39,arithmetic,10,2
329,Introduction to decimals | Decimals | 4th grade | Khan Academy,Operations of Whole Number,62,decimals,8,2
330,Learn 2 to 9 Times Multiplication Tricks | Easy and fast way to learn | Math Tips and Tricks,Number Patterns,92,easy trick time tip fast multiplication,39,3
331,Math Antics - Rounding,Angles,22,round,5,8
332,Math Antics - Ratios And Rates,Directed Numbers,30,rat ratios,10,6
333,Addition And Subtraction Of Integers | Mathematics Grade 5 | Periwinkle,Operations of Whole Number,71,addition integers subtraction,29,2
334,Negative Numbers Subtracting (Easy Method,Directed Numbers,41,negative subtract easy method,29,6
335,Algebra for Beginners | Basics of Algebra,Algebra Expression,41,basics algebra beginners,24,5
336,Factors for the First Time,Factors and Multiplication,26,time factor first,17,4
337,Q 1 - Ex 2.2 - Linear Equations in One Variable - NCERT Maths Class 8th - Chapter 2,Number Patterns,83,linear q ncert one variable ex equations,40,3
338,Intro to Symmetry: All About Symmetry for Kids - FreeSchool,Symmetry,59,freeschool kid intro symmetry,29,1
339,Algebraic Expressions - Class 8 Math,Algebra Expression,36,algebraic expressions,21,5
340,Multiples vs. Factors | What are Multiples and Factors? | Math with Mr. J,Factors and Multiplication,73,multiples mr factor j,21,4
341,Multiples vs. Factors | What are Multiples and Factors? | Math with Mr. J,Factors and Multiplication,73,multiples mr factor j,21,4
342,Measuring Angles | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,51,angle measure,13,4
343,Math Antics - Integer Multiplication & Division,Directed Numbers,47,division multiplication,23,6
344,"Simple Tenses - Present, Past and Future | English Grammar & Composition Grade 4 | Periwinkle",Perimeter,93,english simple composition grammar,34,9
345,Math Antics - Number Patterns,Number Patterns,29,pattern,7,3
346,Lesson 5. Algebraic Expressions |  Maths Session for,Algebra Expression,52,algebraic expressions session,29,5
347,Rubi Theresa  Trick to remember trigonometric values|Palm Trick (In English),Angles,76,english remember trick,22,8
348,Prime Factorisation | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,54,factorisation prime,19,4
349,What is Symmetry? - Basics | Line of Symmetry | Don't Memorise,Symmetry,62,memorise dont symmetry basics line,34,1
350,26 FAST MATHS TRICKS YOU MUST KNOW,Sets,34,trick fast must know,20,0
351,Recognizing prime and composite numbers | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,92,composite factor prime multiples prealgebra,43,4
352,Formula of area and perimeter //mathematics  ,Perimeter,45,perimeter area,14,9
353,Algebra Basics: Solving 2-Step Equations - Math Antics,Operations of Whole Number,54,algebra solve basics step equations,35,2
354,"Perimeter of Triangle Square and Rectangle | Mathematics Grade 5 | Periwinkle"",",Perimeter,79,triangle rectangle square perimeter,35,9
355,Relations and functions | Functions and their graphs | Algebra II | Khan Academy,Sets,80,algebra function,16,0
356,Mathematics | Grade 8 |Lesson 01-Number Patterns - Part 01,Number Patterns,58,pattern,7,3
357,Prime and Composite Numbers,Factors and Multiplication,27,composite prime,15,4
358,Types of Sets Grade 6,Sets,21,set type,8,0
359,Phonics Course Level 1 | Learn Phonics For Kids | Alphabet Sounds | Phonics For Pre School,Symmetry,90,kid alphabet sound level course pre phonics,43,1
360,"Introduction to ratios | Ratios, proportions, units, and rates | Pre-Algebra | Khan Academy",Factors and Multiplication,91,rat proportion prealgebra ratios,32,4
361,"ck12.org normal distribution problems: z-score | Probability and Statistics | Khan Academy"",",Indices,92,problems statistics probability,31,7
362,Negative numbers introduction | Negative numbers and absolute value | Pre-Algebra | Khan Academ,Directed Numbers,95,negative prealgebra value,25,6
363,ALGEBRAIC EXPRESSIONS & EQUATIONS | GRADE 6,Algebra Expression,43,algebraic expressions equations,31,5
364,Phonics Chapter 8 : Recognising AY and OY Sounds | Learn Phonics For Kids | Phonics Lessons,Number Patterns,91,lessons kid sound phonics,25,3
365,Math Antics - Triangles,Angles,23,triangles,9,8
366,01 - Angles and Angle Measure in Degrees - Part 1 - Types of Angles & What is an Angle?,Angles,87,angle type measure degrees,26,8
367,"Intersection of Sets, Union of Sets and Venn Diagrams",Sets,53,venn union set diagram intersection,35,0
368,Symmetry | Part 1/3 | English | Class 6,Symmetry,39,english symmetry,16,1
369,Introduction to order of operations | Arithmetic properties | Pre-Algebra | Khan Academy,Operations of Whole Number,88,properties operations order arithmetic prealgebra,49,2
370,Decimals - Meaning | Mathematics Grade 4 | Periwinkle,Perimeter,53,decimals,8,9
371,Ones & Tens | Mathematics Grade 1 | Periwinkle,Sets,46,tens ones,9,0
372,Angles | Mathematics Grade 5 | Periwin,Angles,38,angle,5,8
373,Angles: measuring angles and their names! | Educational Videos for Kids,Angles,71,angle kid name measure educational videos,41,8
374,Introduction To Negative Numbers |  Maths Concept For Kids | Maths Grade 5 | Periwinkle,Operations of Whole Number,87,kid negative concept,20,2
375,Angles Formed by a Transversal with Two Parallel Lines | Don't Memorise,Angles,71,memorise angle parallel two dont line form,42,8
376,dition And Subtraction Of Integers | Mathematics Grade 5 | Periwinkle,Directed Numbers,69,integers subtraction,20,6
377,Lesson 11. Factors and Multiples | Maths Session for Grade 06,Factors and Multiplication,61,multiples factor session,24,4
378,The zeroth power | Arithmetic operations | 6th grade | Khan Academy,Indices,67,arithmetic power operations,27,7
379,Class 6 Maths Chapter 13 Symmetry Part 1,Symmetry,40,symmetry,8,1
380,Basic Figures Of Geometry | Maths For Kids | Periwinkle,Angles,55,figure kid geometry basic,25,8
381,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,Algebra Expression,60,algebraic expressions session,29,5
382,Subtracting Integers | How to Subtract Positive and Negative Integers,Directed Numbers,69,positive negative subtract integers,35,6
383,Whole Numbers | Ap&TS syllabus Class 6 Maths | Full lesson,Operations of Whole Number,58,whole full apts syllabus,24,2
384,Negative Numbers: An Overview,Directed Numbers,29,negative,8,6
385,Finding LCM using prime factorisation,Sets,37,factorisation prime find lcm use,32,0
386,Articles | English Grammar & Composition Grade 4 | Periwinkle,Directed Numbers,61,english composition grammar,27,6
387,"Earth Science for Kids - Solar System, Weather, Fossils, Volcanoes & More - Rock 'N Learn",Sets,89,solar kid rock earth science weather system,43,0
388,9 Incredible Science Facts You Probably Didn't Learn At School,Algebra Expression,62,probably facts incredible science didnt,39,5
389,Symmetric Geometry in Tamil,Symmetry,27,geometry,8,1
390,Reflectional Symmetry and Rotational Symmetry | Don't Memorise,Symmetry,62,memorise reflectional dont symmetry rotational,46,1
391,Number Series Reasoning Tricks - The Easy Way,Number Patterns,45,easy trick series,17,3
392,Introduction to square roots | Numbers and operations | 8th grade | Khan Academy,Indices,80,root operations square,22,7
393,Lesson 2. Sets | Maths Session for Grade 07,Sets,43,set session,11,0
394,A Trick for Adding and Subtracting Negative Numbers,Directed Numbers,51,negative add trick subtract,27,6
395,Part-1 : Rational Numbers | Mathematics | Class 8 | CBSE Syllabus,Number Patterns,65,syllabus rational,17,3
396,How to become a Math Genius.\u2714\ufe0f How do genius people See a math problem! by mathOgenius,Operations of Whole Number,96,problem people genius,21,2
397,"Sets: Union, Intersection, Complement",Sets,37,union set intersection,22,0
398,"Simple Tenses - Present, Past and Future | English Grammar & Composition Grade 4 | Periwinkl",Sets,92,english composition simple periwinkl grammar,44,0
399,How many ways are there to prove the Pythagorean theorem? - Betty Fei,Indices,69,pythagorean theorem,19,7
400,Prime Factorization (Intro and Factor Trees,Factors and Multiplication,43,factorization factor intro prime,32,4
401,Lesson 1. Bilateral Symmetry | Maths Session for Grade 07,Symmetry,57,session symmetry,16,1
402,Math Antics - Scientific Notation,Number Patterns,33,scientific notation,19,3
403,Intro to whole numbers | Class 6 (India) | Math | Khan Academy,Operations of Whole Number,62,whole intro,11,2
404,Math Antics - Multi-Digit Subtraction,Directed Numbers,37,subtraction,11,6
405,"Area of a circle | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,72,area geometry volume circle perimeter,37,9
406,Algebra for Beginners | Basics of Algebra,Algebra Expression,41,basics algebra beginners,24,5
407,Finding factors and multiples | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,82,multiples prealgebra factor find,32,4
408,Factors and Multiples | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Factors and Multiplication,69,factor icse multiples tutorial free,35,4
409,Lesson 10. Indices | Maths Session for Grade 08,Indices,47,indices session,15,7
410,Least Common Multiple (LCM) | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,62,lcm multiple common,19,4
411,Mathematics | Grade 8 |Lesson 01-Number Patterns - Part 01,Number Patterns,58,pattern,7,3
412,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,Number Patterns,60,algebraic expressions session,29,3
413,"""9 Incredible Science Facts You Probably Didn't Learn At School",Factors and Multiplication,63,probably facts incredible science didnt,39,4
414,Science for kids | Brilliant Brains | The Nervous System | Experiments for kids | Operation Ouch,Operations of Whole Number,96,kid science system,18,2
415,Algebra Basics: The Distributive Property - Math Antics,Algebra Expression,55,basics algebra,14,5
416,Math Antics - Triangles,Angles,23,triangles,9,8
417,Lesson 2. Perimeter | Maths Session for Grade 08,Perimeter,48,session perimeter,17,9
418,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,Algebra Expression,60,algebraic expressions session,29,5
419,"Four operations Part - 1 | Add, Sub, Multiple & Division | 5th std Maths Syllabus | Mathematics",Operations of Whole Number,95,division operations multiple std syllabus add,45,2
420,Factors and Multiples made easy |Prime Factorization| Find factors of all numbers| Class 1 to 5,Factors and Multiplication,95,factor prime find easy factorization multiples,46,4
421,6th Grade Math Assessment Practice Day 1,Sets,40,practice,8,0
422,Class 6 || Maths || Equations : Word Problems,Algebra Expression,45,problems word equations,23,5
423,Playing with Numbers - 1 | Factor & Multiples | Class 6 Maths NCERT Solutions | Sana Khan,Factors and Multiplication,89,multiples factor ncert,22,4
424,Math Antics - Number Patterns,Number Patterns,29,pattern,7,3
425,Math Antics - Angle Basics,Angles,26,angle basics,12,8
426,26 FAST MATHS TRICKS YOU MUST KNOW,Sets,34,trick fast must know,20,0
427,Algebra: Linear equations 1 | Linear equations | Algebra I | Khan Academy,Algebra Expression,73,linear algebra equations,24,5
428,"""Q 3, Ex 11.1 - Perimeter and Area - Chapter 11 - Maths Class 7th - NCERT",Perimeter,73,q ncert area ex perimeter,25,9
429,| Sets - 07,Sets,11,set,3,0
430,Intro to Angles for Kids: Understanding Angles for Children - FreeSchool Math,Angles,77,understand kid children angle intro freeschool,46,8
431,Math Antics - Exponents and Square Roots,Indices,40,root exponents square,21,7
432,Multiples | Mathematics Grade 4 | Periwinkle,Sets,44,multiples,9,0
433,Multiples | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,44,multiples,9,4
434,Algebra Basics: Laws Of Exponents - Math Antics,Indices,47,basics algebra laws exponents,29,7
435,Exponents and Powers | Class 7 | Maths| CBSE | ICSE | FREE Tutorial,Indices,67,power icse exponents tutorial free,34,7
436,Number sets 3 | Fractions | Pre-Algebra | Khan Academy,Sets,54,prealgebra fraction set,23,0
437,Learn to Read | One Syllable Words | Red Level,Directed Numbers,46,word one level,14,6
438,Indices - Introduction | Algebra | Maths | FuseSchool,Indices,53,fuseschool algebra indices,26,7
439,Math lesson for Grade 7 - What are Algebraic Expressions,Algebra Expression,56,algebraic expressions,21,5
440,Heart Dissection GCSE A Level Biology NEET Practical Skills,Operations of Whole Number,59,level,5,2
441,Symmetry Part- 2 || 5th std Maths Syllabus || Exercises and Activities || Easy to Learn Maths,Symmetry,93,easy std symmetry syllabus exercise activities,46,1
442,Factorization: what is it and how is it done? | Class 8th Maths,Algebra Expression,63,factorization,13,5
443,Types of sets,Sets,13,set type,8,0
444,Grade 6 Mathematics - Factors and Multiples  (1st & 2nd Lessons) [English Medium,Factors and Multiplication,80,lessons english factor st multiples medium,42,4
445,Syllables | English Grammar & Composition Grade 3 | Periwinkle,Number Patterns,62,english composition grammar,27,3
446,"Introduction to ratios | Ratios, proportions, units, and rates | Pre-Algebra | Khan Academy",Indices,91,rat proportion prealgebra ratios,32,7
447,26 FAST MATHS TRICKS YOU MUST KNOW,Operations of Whole Number,34,trick fast must know,20,2
448,"Volume of a cone | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,72,geometry perimeter volume area,30,9
449,JS Math| Addition Negative Number With Algebra Discs,Directed Numbers,52,addition algebra negative,25,6
450,26 FAST MATHS TRICKS YOU MUST KNOW,Operations of Whole Number,34,trick fast must know,20,2
451,The substitution method | Systems of equations | 8th grade | Khan Academy,Symmetry,73,equations method,16,1
452,Multiplying Mixed Numbers and Whole Numbers,Operations of Whole Number,43,whole multiply,14,2
453,Learn to Find Area and Perimeter of Square and Rectangle | Math | Grade-5 | Tutway |,Perimeter,84,find square area rectangle tutway perimeter,43,9
454,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,62,composite prime,15,4
455,"Earth Science for Kids - Solar System, Weather, Fossils, Volcanoes & More - Rock 'N Learn",Sets,89,solar kid rock earth science weather system,43,0
456,Adding and Subtracting Mixed Numbers,Operations of Whole Number,36,add subtract,12,2
457,Points after rotation | Transformations | Geometry | Khan Academy,Symmetry,65,point geometry transformations,30,1
458,Math Antics - The Pythagorean Theorem,Angles,37,pythagorean theorem,19,8
459,Lesson 7. Parallel Straight Lines | Maths Session for Grade 07,Indices,62,parallel line session,21,7
460,"Grade 5 - Mathematics - Multiples, Factors, Primes and Composites / WorksheetCloud Video Lesson",Factors and Multiplication,95,multiples video factor worksheetcloud,37,4
461,First Term Revision Exercise|Maths Session for Grade 08,Number Patterns,55,first term session,18,3
462,Axis of symmetry | Transformations | Geometry | Khan Academy,Symmetry,60,geometry transformations symmetry,33,1
463,Grade 8 - Mathematics - Algebraic Expression 1 / WorksheetCloud Online Lesson,Algebra Expression,77,algebraic expression online worksheetcloud,42,5
464,What is Symmetry? - Basics | Line of Symmetry | Don't Memorise,Symmetry,62,memorise dont symmetry basics line,34,1
465,Grade 8 - Mathematics - Algebraic Expression 1 / WorksheetCloud Online Lesson,Algebra Expression,77,algebraic expression online worksheetcloud,42,5
466,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,62,composite prime,15,4
467,Measuring Angles | Mathematics Grade 4 | Periwinkle,Angles,51,angle measure,13,8
468,Introduction to angles (old) | Angles and intersecting lines | Geometry | Khan Academy,Angles,86,geometry intersect angle line,29,8
469,Lesson 3. Mathematical Operations on Whole Numbers | Maths Session for Grade 06,Operations of Whole Number,79,whole operations mathematical session,37,2
470,Factors and Multiples - Grade 6 - 11th lesson - English Medium - Sri Lankan National Curriculum,Factors and Multiplication,95,english lankan factor curriculum national sri multiples medium,62,4
471,9 Incredible Science Facts You Probably Didn't Learn At School,Indices,62,probably facts incredible science didnt,39,7
472,Math Antics - Area,Angles,18,area,4,8
473,"Perimeter and area: the basics | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,86,area geometry basics volume perimeter,37,9
474,Introduction to order of operations | Arithmetic properties | Pre-Algebra | Khan Academy,Number Patterns,88,properties operations order arithmetic prealgebra,49,3
475,10 Math Games That'll Boost Your Brain Power By 80,Algebra Expression,50,power,5,5
476,Area of Square and Rectangle | Mathematics Grade 5 | Periwinkle,Perimeter,63,rectangle square area,21,9
477,Rational and Irrational Numbers,Directed Numbers,31,irrational rational,19,6
478,What is Number Sequencing,Directed Numbers,25,sequence,8,6
479,NCERT CBSE Class 6 Maths Chapter 13 Symmetry Part 1,Symmetry,51,ncert symmetry,14,1
481,Learning about Area | #aumsum #kids #science #education #children,Angles,65,kid education children area science aumsum,42,8
482,Exponent properties involving products | Numbers and operations | 8th grade | Khan Academy,Indices,90,operations properties,21,7
483,Symmetrical & Non Symmetrical Shapes,Symmetry,36,symmetrical shape,17,1
484,Lesson 11. Symmetry | Maths Session for Grade 08,Symmetry,48,session symmetry,16,1
485,Factorisation using identities | Part 1/3 | English | Class 8,Algebra Expression,61,english factorisation use identities,36,5
486,ce Value And Face Value | Mathematics Grade 2 | Periwinkle,Operations of Whole Number,58,value,5,2
487,Video SparkNotes: Shakespeare's Romeo and Juliet summary,Symmetry,56,video,5,1
488,Equal Parts of a Whole | Mathematics Grade 3 | Periwinkle,Sets,57,whole,5,0
489,Math Antics - Proportions,Operations of Whole Number,25,proportion,10,2
490,Adding and subtracting negative numbers | Pre-Algebra | Khan Academy,Directed Numbers,68,prealgebra add subtract negative,32,6
491,Science|Grade 6 Science Lessons in sinhala medium|Science for grade 6|2020|Science Channel Bro,Indices,94,lessons sinhala channel science,31,7
492,Story on Profit and Loss - Raheem's tasty food - Part 1 - English,Perimeter,65,english,7,9
493,Maths Help - 35.  Addition & Subtraction of Directed Numbers,Directed Numbers,60,addition direct subtraction,27,6
494,Learn how to Draw Shapes with Names | Easy Drawing | Education drawing for Beginners,Angles,84,education name easy beginners shape,35,8
495,Understand and Learn the Rules of Positive and Negative Numbers,Directed Numbers,63,positive understand negative rule,33,6
496,"""9 Incredible Science Facts You Probably Didn't Learn At School",Perimeter,63,probably facts incredible science didnt,39,9
497,Lesson 2. Perimeter | Maths Session for Grade 08,Number Patterns,48,session perimeter,17,3
498,Math Antics - Number Patterns,Number Patterns,29,pattern,7,3
499,Factors for the First Time,Factors and Multiplication,26,time factor first,17,4
500,Intersection and union of sets | Probability and Statistics | Khan Academy,Sets,74,statistics probability union set intersection,45,0
501,Fractions & Decimals - Chapter 2 - Introduction - Class 7,Operations of Whole Number,57,fraction decimals,17,2
502,Angle Pairs 8th Grade Math,Angles,26,angle,5,8
503,Types of Angles According to Positions | Mathematics Grade 5 | Periwinkl,Angles,72,angle type periwinkl,20,8
504,2 Letter Words | Two Letter Phonics Words | Sight Words | Pre School Kindergarten,Angles,81,word phonics pre two,20,8
505,Reflectional Symmetry and Rotational Symmetry | Don't Memorise,Symmetry,62,memorise reflectional dont symmetry rotational,46,1
506,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Indices,62,composite prime,15,7
507,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Operations of Whole Number,62,composite prime,15,2
508,Our Solar System and The Universe | Science for Kids | Grade 3 | Periwinkle,Sets,75,solar kid science system,24,0
509,Introduction to Fractions | #aumsum #kids #science #education #children,Operations of Whole Number,71,kid education fraction children science aumsum,46,2
510,Understand and Learn the Rules of Positive and Negative Numbers,Directed Numbers,63,positive understand negative rule,33,6
511,Properties of Whole Numbers class-6,Operations of Whole Number,35,whole properties,16,2
512,Lesson 1. Number Patterns | Maths Session for Grade 08,Number Patterns,54,pattern session,15,3
513,Maths Algebraic Expressions part 1 (Introduction) CBSE Class 7  Mathematics VII,Algebra Expression,79,algebraic expressions,21,5
514,NCERT Grade 8 || CBSE Class 8 - Algebraic Expressions and Identities Introduction in Tamil,Algebra Expression,90,algebraic ncert expressions identities,38,5
515,Introduction to Sets for Roster Method & Set Builder Form | Algebra |  Math | Letstute,Sets,86,algebra builder roster set method letstute form,47,0
516,Line Symmetry and Mirror Symmetry | Types Of Symmetries - Iken Edu,Symmetry,66,type line symmetry,18,1
517,Lesson 5. Algebraic Expressions |  Maths Session for Grade 09,Algebra Expression,61,algebraic expressions session,29,5
518,"Symmetrical And Asymmetrical Shapes | Math | Grade-3,4 | Tutway |",Symmetry,65,symmetrical shape tutway,24,1
519,Lesson 1. Perimeter |  Maths Session for Grade 10 #DPEducation #Grade10Maths #perimeter,Perimeter,87,session perimeter,17,9
520,Number Patterns Grade 8,Number Patterns,23,pattern,7,3
521,"Simple Tenses - Present, Past and Future | English Grammar & Composition Grade 4 | Periwinkle",Number Patterns,93,english simple composition grammar,34,3
522,How to become a Math Genius.\u2714\ufe0f How do genius people See a math problem! by mathOgenius,Number Patterns,96,problem people genius,21,3
523,Grade 6 Mathematics - Factors and Multiples  (1st & 2nd Lessons) [English Medium],Factors and Multiplication,81,lessons english factor st multiples medium,42,4
524,Math Antics - Prime Factorization,Factors and Multiplication,33,factorization prime,19,4
525,Number Patterns,Number Patterns,15,pattern,7,3
526,Math Antics - Angle Basics,Angles,26,angle basics,12,8
527,Lesson 24. Indices | Maths Session for Grade 06,Indices,47,indices session,15,7
528,Number patterns: interpreting relationships | Pre-Algebra | Khan Academy,Number Patterns,72,prealgebra pattern,18,3
529,What are Sets? | Set Theory | Don't Memorise,Sets,44,memorise set dont,17,0
530,Divisibility | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,47,divisibility,12,4
531,Learning about Area | #aumsum #kids #science #education #children,Perimeter,65,kid education children area science aumsum,42,9
532,Patterns for Kids,Number Patterns,17,kid pattern,11,3
533,Learning Factors | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,51,factor,6,4
534,Lesson 2. Perimeter | Maths Session for Grade 08,Perimeter,48,session perimeter,17,9
535,Introduction to Algebra | Algebra for Beginners | Math | LetsTute,Algebra Expression,65,letstute algebra beginners,26,5
536,Multiplying: 2 digit numbers | Multiplication and division | 4th grade | Khan Academy,Number Patterns,85,multiply division multiplication,32,3
537,reflexive symmetric transitive relations in hindi | types of relations | Niharika Panda,Symmetry,87,type,4,1
538,Whole Numbers - Introduction | Class 6 Maths,Operations of Whole Number,44,whole,5,2
539,The Open Boat by Stephen Crane | English Story | Grade 8 | Periwinkle,Number Patterns,69,english,7,3
540,Intro to Symmetry: All About Symmetry for Kids - FreeSchool,Symmetry,59,freeschool kid intro symmetry,29,1
541,Lesson 7. Factors | Maths Session for Grade 08,Algebra Expression,46,factor session,14,5
542,GRADE 7 MATHEMATICS || PROBLEMS INVOLVING SETS,Sets,46,problems set,12,0
543,Math Antics - Adding & Subtracting Integers,Directed Numbers,43,add integers subtract,21,6
544,Number Names | Learn Maths | Maths School Syllabus | Maths For School,Perimeter,69,syllabus name,13,9
545,Symmetry Lesson,Symmetry,15,symmetry,8,1
546,Place Value And Face Value | Mathematics Grade 2 | Periwinkle,Operations of Whole Number,61,place value,11,2
547,Relationship Of Multiplication And Division | Mathematics Grade 3 | Periwinkle,Operations of Whole Number,78,division multiplication,23,2
548,Math patterns example 1 | Applying mathematical reasoning | Pre-Algebra | Khan Academy,Number Patterns,86,prealgebra mathematical pattern example,39,3
549,Math lesson for Grade 7 - What are Algebraic Expressions,Algebra Expression,56,algebraic expressions,21,5
550,Factors and Multiples | Mathematics Grade 5 | Periwinkle,Operations of Whole Number,56,multiples factor,16,2
551,Relative complement or difference between sets | Probability and Statistics | Khan Academy,Sets,90,set statistics probability,26,0
552,"BASIC MATHS - Multiples and Factors (for Key Stage 2 + 3, GCSEs, and Beginner",Factors and Multiplication,77,multiples factor basic,22,4
553,Measure Length | Mathematics Grade 1 | Periwinkle,Indices,49,length measure,14,7
554,MATH Quiz: Are You Smarter than 8th grader? | Can You Pass 8th Grade? - 30 Questions,Algebra Expression,84,question,8,5
555,Math Antics - Negative Numbers,Directed Numbers,30,negative,8,6
556,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,Number Patterns,60,algebraic expressions session,29,3
557,Properties of Whole Numbers - Part 1 | Don't Memorise,Operations of Whole Number,53,whole dont memorise properties,30,2
558,Reading 2 Letter Words | 3 Letter Words | 4 Letter Words | 5 Letter Words | Learn Englis,Symmetry,88,word,4,1
559,Rational Numbers,Number Patterns,16,rational,8,3
560,Grade 8 Numeric Patterns Part 2,Number Patterns,31,numeric pattern,15,3
561,How to score Good Marks in Math? | 8 Tips to Study Math | Letstute,Perimeter,66,letstute tip study,18,9
562,Area | Mathematics Grade 5 | Periwinkle,Algebra Expression,39,area,4,5
563,How to find Multiples and Factors  #3,Factors and Multiplication,37,multiples factor find,21,4
564,Directed numbers | Multiplication | Division,Directed Numbers,44,division multiplication direct,30,6
565,How to Remember what you study? | How to Increase your Memory Power? | Study Tips | Letstute,Angles,92,power study remember letstute tip,33,8
566,Adding and Subtracting Integers Using a Simple Method,Directed Numbers,53,subtract simple integers method add use,39,6
