,have to divide divide by 3 so you get 1 1 1 now we multiply all these numbers that's the lowest common multiple 2 times 1 2 3 4 and 3. so you get the same answer 16 
,times 3 48 as the lowest common multiple example number two two bells ring at interval of six minutes and eight minutes respectively if they both ring together at eight a.m what time they will ring together again so we'll take all multiples of 6 first 6 12 18 24 30 36 6 times 6 6 times 7 42 what are 6 times 7 6 times 8 48 like that those are multiples of 6 multiples of 8 8 16 24 8 times 4 32 8 times 8 times 5 40 so like that now what's the common one when you look at carefully can you see 24 is the next common one so that means after 24 minutes it will ring again so 24 minutes that means what's the time 8 24 so it will ring at 8 24 8 now same thing second method so you need to find out the lowest common multiple of 6 and 8. so how we find out the lowest common multiple of 6 and 8 we write down like this divide by 
,2 divide by 2 again here 2 again and 3. till you get 1 you divide and multiply these two so lowest common multiple is 2 times 2 times 2 times 3 8 times 3 24 this is 
,in minutes so 8 plus 24 minutes means 8 24 it will ring again exercise 4.7 find the lowest common multiple of each of the following triples of numbers we can take at once and find out the lowest common multiple divide by 2 divide by 2 again divide by 2. divided by 3 and finally again by 3 so what's the lowest common multiple 2 times 2 4 4 times 2 8 8 times 3 24 24 times 3 3 times 4 12 1 remaining 3 times 2 6 plus 1 seventy two now this one eighteen eight fourteen and twenty eight divide by 
,two divide by 2 again divide by 2 and divide by 7. until you get 1 you have to divide so what's the lowest common multiple 2 times 2 times 2 8 8 times 7 you get 56 is the lowest common multiple 20 30 40. you can divide by 2 divided by two again divide by two divide by three and finally divide by 5 get all once so what's the lowest common multiple 2 times 2 4 4 times two eight five times three fifteen so eight times fifteen eight times five forty eight times one eight plus four twelve so hundred twenty nine twelve twenty seven you can divide by two divide by two again now you can divide by 3 3 again and 3 again so what's the lowest common multiple two times two four four times three twelve three times three nine twelve times nine hundred eight two three five you can divide by two divide by three and divide by five 
,so what's the lowest common multiple two times three times five six times five thirty thirty six 54 24 divide by 2 80 divide by 2 7 divided by 2 here 12 again divide by 2. can divide by 2 again i'll divide by 3. divide by 3 again and three again till you get one now what's the lowest common multiple two times two four four times two eight eight times three twenty four and three times 9. 9 times 4 36 3 remaining 9 times 2 18 plus 3 21. so the lowest common multiple is 216. question number two at a military function three cannons are fire at intervals of 12 seconds 16 seconds and 18 seconds respective if the three cannons are fired together initially after how many seconds will they will be they all be fired together again so how many seconds so that means we need to find out the lowest common multiple in seconds so we'll find out the lowest common multiple of 12 16 and 18. divide by two divide by two again divide by two divide by two divide by three and three again so what's the lowest common multiple two times two four four times two eight eight times two sixteen and three times three nine nine times 9 times 6 54 5 remaining 9 times 1 9 
,plus 5 that's 14. so after again 144 seconds again you can see the three can again three cannons at the same time miscellaneous exercise without dividing determine whether the number 30 35 343 is divisible by 3. how we find out digital root 3 plus 5 8 8 plus 3 11 11 plus 4 15 15 plus 3 18 means 1 plus 8 9. so digital root is 9. 
,so that's divisible by three four last two digits not divisible by four so that means not divisible by 4 what about 6 how we identify whether it's divisible by 6 it 
,should be an even number so this is not an even number so not divisible by 6 and 9 digital root is 9 so that's divisible by 9 as well fill in the blanks the highest 
,common factor of 2 and 3 what's the highest common factor there's no common factor so we write only one the lowest common factor of 4 and 12 what's the lowest common multiple of 4 and 12. you can find out 3 times 2 6 6 times 2 12 that's the highest number the highest common factor of two prime numbers is so like this always when you get two prime factors highest common factor is always one the lowest common multiple of two three and five two three again and five two times three six six times five thirty find the highest common factor and lowest common multiple of twelve 42 and 75 so we'll use the factor method because for highest common factor anyway we need the factors 12 2 times 6 6 you get 2 times 3 42 divide by 2 21 3 and 7. divide by 3 you get 25 that's 5 and 5. highest common factor we just see what's highest common ones only three lowest common multiple we can write down two twice and three ones here here two ones three ones and seven ones here you get three ones and five twice so for lowest common multiple you take different numbers with the highest power 2 when you take 2 to the power 2 is the highest 3 just 3 to the power 1 5 5 to the power 2 is the highest and you get 7 to the power 1. now multiply 4 4 times 3 12. 5 times 5 25 and 7. so 12 times 7 we'll multiply these two 84 times 25 what's 84 times 20 5 20 and 5 00 or 8 16. five times four twenty five times eight forty plus two forty two two thousand 100 is the lowest common multiple it is proposed 
,to distribute books among 45 students in a class such that each student receives no less than 5 books and no more than 10 books if this is 5 books what's the if this is 5 books how many books all together 45 into 5 225 and it is no more than 10 books if it's 10 how many books are there 400 so the number of books should be in between 225 and 450 but that should be divisible by 45 because there are 45 students so what's the lowest number it can be 225 then add 45 to that okay 10 7 270 then add 45 again 350 45 again 360. another 45 405 another 45 450 so the number of books can be in between 225 and 450 you can get any number here so we covered the second 
,part of chapter 4 in this lesson and what did we do we identify what are prime numbers and highest common factor lowest common multiple so we explained several methods to identify highest common factor and the lowest common multiple so you can choose the easiest one to solve problems
,
NtkjbVb3Zv8,GCF is the partner to l see em you have learned how to find the lowest common multiple now we learn how to find the greatest common factor if you've practiced LCM and have used prime factorization to find it then you are ready for GCF which is also known as H CF or highest common factor what is GCF the greatest common factor is 
,the largest value that divides exactly into two or more numbers let's explore it using a problem like you'll see in school we'll find the LCM and the GCF of 36 and 44 first we do the LCM you know what to do get the prime factors 36 is from 3 times 12 12 is from 3 times 4 4 is from 2 times 2 then lists the prime factors in a table 2 times 2 times 3 times 3 clear the area 44 is from 4 times 11 4 is from 2 times to put those prime factors into the table aligning like factors 2 times 2 times 11 now get the factors of our mystery LCM 2 times 2 times 3 times 3 times 11 work it out 2 times 2 is 4 times 3 is 12 times 3 is 36 times 11 well 10 36s are 360 and add another 36 on that makes 11 36 s is 396 that's our LCM now let's do the greatest common factor if a prime factor is common to both the numbers listed then it is used in our greatest common factor 2 is in both lists of prime factors here and here three is not common nor is eleven list the common factors two and two then we multiply the common prime factors to get the GCF so two times two the GCF is four isn't that easy I think it's beautifully simple and it's really fast after doing the LCM if you use the prime factors Table two to help organize yourself as you're working through you're going to find it very clear and you'll be least likely to make a 
,mistake there's one last point you need to be aware of before you have a go at GCF for yourself at some point your teacher is going to give you a pair of numbers bit like this where when you do the prime factorization you find that there are no prime factors that are common to the two numbers so how do we list the GCF if there are no factors common to the two numbers then the GCF the greatest common factor is one why because every number always has one as a factor and now you are good to go on GCF check the links here to look at my videos on LC and if you want to refresher you you
,
jfP5-DVMVlU,introduction that did you notice that this lift does not stop at all the floors I did prainha it stops on the 2nd 4th 6th 8th and 10th floors the numbers 2 4 6 8 and 10 are multiples of 2 right dad absolutely right Reina do you also know that 2 is a factor of 2 4 6 8 and 10 no dad we are yet to learn factors at school in this lesson you will learn about multiples and factors at the end of this lesson you will be able to compute multiples identify common multiples apply concept of multiples 
,to word problems compute factors identify common factors draw factor trees apply concept of factors to vert problems getting to know multiples miss Rita is pronounced maths teacher she is playing a game with her student to teach them the concept of multiples she begins with the multiples of three ten students form a circle around Miss Rita each student has 30 pebbles miss Rita points to a student he recalls in his mind that three ones are three he places three pebbles on the hankie lying in front of him Miss Rita points to another student she recalls that three twos are six she places six pebbles on the hankie in front of her this process is repeated till the tenth student placed thirty pebbles on the hankie in front of her the numbers three 6 9 12 15 18 21 24 27 and 30 are the product of three with another number hence they are all multiples of 3 basics of multiples multiples of a number are those numbers that are the product of the original number with another number in order to understand multiples better let us now look at facts of multiples common multiples applications of multiples facts of multiples we will now learn some interesting facts about multiples weight is prerna's younger brother he buys a box of full marbles he expresses the total number of marbles as 4 multiplied by 1 is equal to 
,4 Prerna buys a packet of 5 biscuits she expresses the total number of biscuits as 5 multiplied by 1 is equal to 5 Rashmi is prerna's elder sister she brings home a 
,kilogram of mangoes containing six pieces she expresses the total number of mangoes as 6 multiplied by 1 is equal to 6 it is clear from these figures that every number is a multiple of itself Wade buys another box of 4 marbles he expresses the total number of marbles as 4 multiplied by 2 is equal to 8 Prerna buys 2 more packets 
,of 5 biscuits each she expresses the total number of biscuits as 5 multiplied by 3 is equal to 15 Rashmi buys three more kgs of 6 mangoes each she expresses the total number of mangoes as 6 multiplied by 4 is equal to 24 it is clear from these figures that every number is the smallest multiple of itself Wade buys yet another box of for marbles the total numbers of marbles are 4 multiplied by 3 is equal to 12 Rayna buys 2 more packets of 5 biscuits each the total numbers of biscuits are 5 multiplied by 5 is equal to 25 Rashmi buys three more kgs of six man Gossage the total number of mangoes are 6 multiplied by 7 is equal to 42 it is clear from these figures that a new multiple of a number can be generated by multiplying it with a new number therefore multiples of a number are infinite common multiples rima and Prerna are playing a game Rima will count the number of red and green cars on the road she will try to express them as multiples of three Trina will count the number of red and green buses on the road she will try to express them as multiples of six Reema observes 12 red cars and 18 green cars she expresses them as 3 multiplied by 
,4 is equal to 12 3 multiplied by 6 is equal to 18 renina observes 18 red buses and 24 green buses she expresses them as 6 multiplied by 3 is equal to 18 6 multiplied by 4 is equal to 24 18 is a multiple of both three and six such multiples are known as common multiples Prerna and her mother are at the Rose Garden Prerna notices 
,that a patch contains red rose plants arranged in two rows of twelfth plants each another patch contains yellow rose plants arranged in three rows of eight each yet 
,another patch contains pink rose plants arranged in four rows of six each twenty-four is a common multiple of two three four six eight and twelve applications of multiples let us now apply the concept of multiples to some word problems Wade clarinha and Rashmi are racing up the steps of their house starting from the fourth step 
,with covers two steps at a time brinda covers four steps at a time and Rashmi covers six steps at a time when will the three beat together on a step next before they reach their house on the 24th step Wade covers four six eight ten twelve 14th 16th 18th 20th 22nd and 24th steps 4 6 8 10 12 14 16 18 20 22 and 24 are multiples of 
,2 pray covers 8 12 16 20th and 24th steps 8 12 16 20 and 24 are multiples of 4 rashmi covers 12th 18th and 24th steps 12 18 and 24 are multiples of 6 12 is the first common multiple of two four and six therefore they will meet on the 12th step self-assessment drag-and-drop the correct match to fill in the blanks getting to know 
,factors miss Rita Brenna's maths teacher is playing another game with her students to teach them the concept of factors miss Rita calls a student and tells him to think of a multiplication table in which 12 appears as the product she asks him to pick up those many yellow balls the student picks up two yellow balls she repeats the exercise with four more students two three four six and twelve are the factors of 12 basics of factors factors of a number are those numbers that divide the original number without leaving a remainder in order to understand factors better let us now look at facts or factors common factors factor trees applications of factors let us learn them one by one in detail facts or factors let us now look at some interesting facts about factors Brina gifts her mother a bunch of 10 red roses on her 
,birthday Brenna's mother arranges them all in a single flower wasps we can express this arrangement as 10 multiplied by one is equal to 10 Brenna's mother tries out 
,a different arrangement she places the roses one each in 10 verses we can express this arrangement as 1 multiplied by 10 is equal to 10 1 and 10 are factors of 10 1 
,is a factor of every number every number is a factor of itself Brenna's mother tries out another arrangement she places the roses to each in 5 verses we can express 
,this arrangement as 2 multiplied by 5 is equal to 10 Brenna's mother tries out one more arrangement she places five roses each in two verses we can express this arrangement as five multiplied by 2 that is equal to 10 2 and 5 are also factors of 10 as there are no more arrangements possible it is clear that 1 2 5 and 10 are the only 4 factors of 10 therefore we can say that factors of a number are finite a number is the greatest factor of itself common factors Brenna's grandfather gives prena five rupees for ice cream she rushes to the ice cream parlor and buys her favorite orange bar for five rupees we can express it as one multiplied by 5 is equal to 
,five a week later he gives prena ten rupees this time she buys two orange bars we can express it as 2 multiplied by 5 that is equal to 10 next week he gives her 15 rupees she decides to buy 3 orange bars we can express it as 3 multiplied by 5 is equal to 15 it is clear that 5 is a factor of 5 10 and 15 such factors are known as 
,common factors factor trees let us now Express the factors of 18 with the help of a factor tree 18 can be expressed as the product of 9 and 2 we draw two branches from 18 mark 1 as 9 and the other as to 9 can be written as the product of 3 & 3 we draw two branches from 9 mark both as 3 3 can be written only as 1 multiplied by 3 
,2 can be written only as 1 multiplied by 2 we skip these factoring the factor tree for 18 is complete we can write 18 as the product of 3 3 & 2 18 can also be expressed as the product of 6 & 3 we draw two branches from 18 mark 1 as 6 and the other as 3/6 can be written as the product of 2 & 3 we draw two branches from 6 mark 1 as 2 and the other as 3 factor tree is complete we can again write 18 as the product of two three and three applications of factors let us now apply the concept of factors to some word problems Trina has a chart paper that is 4 feet long and 6 feet wide she has to paste pictures on the chart paper she has six pictures each of three different dimensions 2 feet by 2 feet 3 feet by 3 feet and 2 feet by 5 feet pictures of which size can she paste on the chart paper without cutting them short let us check if the dimensions of the pictures are factors of the dimensions of the chart paper dimensions of the first picture is a factor of dimensions of the chart paper therefore preneur can paste pictures of dimensions 2 feet by 2 feet on the chart paper without cutting self-assessment click and match the items of column a with items of column B you summary let us summarize what we have learned notables of a number are those numbers that are the product of the original number with another number every number is the smallest multiple of itself multiples of a number are in finite common multiples are numbers that are multiples of more than one number factors of a number are those numbers that divide the original number without leaving a remainder every number is the largest factor of itself factors of a number are finite common factors are numbers that are factors of more than one number factors of a number can be expressed with the help of factor trees
,
N-Y0Kvcnw8g,"Hi and Welcome to Math Antics. In the last video we learned how easy it is to add and subtract fractions that have the same bottom number. We call those ‘like’ fractions. But often you’ll be asked to add or subtract fractions that have different bottom numbers, or ‘unlike’ fractions. And we learned that the only way we can do that is to change our fractions so that they DO have the same bottom number. Alright then… how do we do that? How can we change two ‘unlike’ fractions into two ‘like’ "
,"fractions? How do we get our fractions to have a ‘common denominator’? The answer is, we need to use equivalent fractions! You remember what equivalent fractions are, right? They’re fractions that have the same value, but use different top and bottom numbers: like 1 over 2 and 2 over 4. They both represent one half, but with different numbers. Well, whenever we have two unlike fractions that we need to add, if we could find equivalent fractions to use instead, AND if those new equivalent fractions had the SAME bottom numbers as each other, then we’d be all set. We’d have two ‘like’ fractions and we could add them using our procedure. Okay, but how do we find equivalent fractions that have a common denominator (or the same bottom number)? Well, there’s two main ways of doing it. In this video, we’re only gonna learn the first way of doing it, and I like to call this way ‘finding the easiest common denominator’. In the next video, we’ll talk about another method that some of you may have already heard about. It’s called ‘finding the least common denominator.’ Okay, so how does this ‘easiest common denominator method’ work? Well, even though this is an easy method, it might sound a little complicated at first. But don’t worry.  It’ll make a lot more sense once you’ve seen a few examples. In this method, the common denominator is always going to be the product of the bottom numbers. In other words, it will be number you’d get if you multiplied the bottom numbers together. Basically, all we’re going to do is take the two different bottom numbers, and make two different ‘whole fractions’ using them. Then, we’re going to move the ‘whole fraction’ to the opposite sides and multiply them by our ‘unlike’ fractions. Doing this will give us two new equivalent fractions that will have the same bottom number. Then we can add or subtract them easily. Okay, let’s try a couple examples so we can see this method in action. Let’s add the fractions 2 over 5 and 1 over 3. These are NOT like fractions because they have different bottom numbers, so we’re going to change them. And the common denominator we will uses is the product "
,"of the bottom numbers: 5 × 3 = 15. We change them by multiplying each fraction by a ‘whole fraction’. The first ‘whole fraction’ is going to be 3 over 3, because 3 is the second fraction’s denominator, and the second ‘whole fraction’ is going to be 5 over 5 because 5 is the first fraction’s denominator. Next, we multiply starting with our first fraction. On the top: 3 × 2 = 6 And on the bottom: 3 × 5 = 15. So our first fraction has become 6 over 15. Now for the second fraction… On the top: "
,"1 × 5 = 5 And on the bottom: 3 × 5 = 15. So our second fraction has become 5 over 15. Now we just add them using our procedure for adding ‘like’ fractions.  We add the top numbers:  6 + 5 = 11. And then we keep the same bottom number, which is 15. So that means the answer to 2 over 5, plus 1 over 3, is 11 over 15. That’s pretty "
,"easy, huh?  Alright, let’s see one more example of this method. Let’s add the fractions 7 over 8 and 3 over 10. Our common denominator for this problem is going to be 80, because that’s what we get when we multiply the denominators together: 8 × 10 = 80. We’ll multiply our 7 over 8 by the ‘whole fraction’ 10 over 10. And we’ll multiply our 3 over 10 by the ‘whole fraction’ 8 over 8. Then, when we do our multiplication, the 8 times 10 will give us 80 on the bottom of both fractions. For the "
,"top of the first fraction we have: 7 × 10 = 70. And the top of the second fraction we have: 3 × 8 = 24. Now that we have ‘like’ fractions, we can just add the top numbers:  70 + 24 = 94. And keep the bottom number the same: 80 So… 7 over 8, plus 3 over 10, equals 94 over 80. Some of you see that this answer could be simplified. "
,"Be sure to check out our videos on Mixed Numbers and Simplifying Fractions to see how you could do that for your final answer. Alright, that’s the first way you can "
,"find the common denominator and change your ‘unlike’ fractions into ‘like’ fractions so you can add or subtract them easily. Remember, practice is really important in math, so be sure to do the exercises for this section so you really get the hang of it. After that, check out the next video and I’ll show you how to use a different method to find what we call the Least Common Denominator. Thanks for watching and I’ll see you next time. Learn more at www.mathantics.com"
,
WEdMdZI8CLM,hello children today of elisany's factors and multiples listen we will firstly learn about factors what are these factors Shirin see when we write a whole number as 
,a productive mother two whole numbers then these two whole these two numbers are called the factors of this original whole number okay here I have written this 20 as a product of 1 and 21 times 20 is 20 no so this one and 20 are factors of 20 again I have written this number as a product of another two numbers two times ten so these two are factors of this this 20 so remember that if we can write any whole number as a product of another two numbers so those numbers are all the factors of the original number now children we will learn how to find the factors of a number right see the first example number is 4 we are going to find all the factors of 4 right see you should start from 1 every time we are going to write as a product this number should should be written as a product of two numbers ok so every time you must start with 1 1 times what 1 times 4 then after 1 what is the next number to 2 times can be right for yes 2 times 2 then again can be write any no 3 times there is no then 4 times again same thing is coming up so we can start from here so writing this is not enough you must write the factors of 4 separately okay this is the way that we find the factors and we should write the factor separately see what are the factors of 4 1 2 & 4 don't repeat the same number okay next step we will start from 1 1 times 10 2 times 5 if you want you can write any question apus likewise you can write then 3 times no four times No again it's coming five times right five times - is there but we know that both are same so stop from here otherwise on tire chain you may find the factors no need if the same thing is repeated you can stop from there okay and this is the other way that we should stop when the same number is they are the same TRADOC we can stop from there no need to consider three times four times likewise so what are the factors of ten one two five and ten next seven we know that only by one time seven we can obtain seven there are no any other 
,multiples you can obtain seven two times three times four times no so what are the factors of seven one and seven next 15 we will start with one one times 52 times yes it is there because the last digit is 0 this is an even number so multiple of two 2 times 25 three times no ok recall the multiplication table four times no five 
,times here as it is coming five times ten right then six times no seven times no seven eight nine times no again ten times it is coming ten times five we know that the same thing now same thing is repeated so stop from there no need to consider the other numbers after that so what are the factors of 50 1 2 5 10 25 and 50 next 31 we know that 1 times 31 is there 2 times no 3 times 4 times 5 times as we know 31 is not there in the multiplication table ever many times no we cannot see that so 
,1 and 31 only are the factors of 31 next 45 if you try and recall the multiplication table with the help of that you can may find the factors of a number here 1 times 45 then 2 times no because of the last digit right 3 times 3 times 15 4 times five times nine six times no seven times no eight times no 9 times again five is coming so stop from here this is the place where you should start after this no need to consider the other numbers so what are the factors of 45 1 3 5 9 15 and 45 it's not compulsory of writing in an order you can write whatever that you want here 21 1 times 21 2 times no three times seven four times no six times not five times no six times no then 7 times same thing so stop from here not compulsory of writing this so what are the factors 721 this one 3 7 21 next 18 one times 18 2 times 9 3 times 6 4 times no 5 times no 6 times is same thing so what are the factors of 18 these are the factors of 18 okay so we will get the example aid we are going to find the factors of 8 here firstly we can divide that means not by all the numbers okay if you are given a question like this find 3 factors of 8 find 3 factors of 32 likewise if you are asked you can use this method also get the number divided by few numbers and see whether a remained is coming or not if the remaining is 0 that means that number is a factor 1 is a factor see I have divided it by 1 so according to usual division method when we divide a one time say it is it 0 is the remainder so 
,answer is H no answer he said with remainder 0 that means 1 is a factor next it can be divided by 2 boy is the answer with 0 remainder that means 2 is also a factor 
,next I haven't written the answers here so we will divide we will divide 8 by 3 3 times 2 we 6 and 2 is remaining here 2 is the answer with remainder 2 that means 3 
,is not a factor of 8 then then the next one is for 8 we will divide by 4 4 times 2 is 8 0 remainder answer is 2 with 0 remainder that means 4 is also factor likewise I have divided and shown you some answers 5 is not a factor because there is a remainder 6 is also not a factor because there is a remainder 7 is also not now in the last run 0 is the remainder that means this is also a factor using this method also you can find the factors see the fraction I have given you is 3 a factor of 90 
,if you are given such a question the method I taught you that means this you division method can be useful here okay see we need to check whether this only this number is a factor of the given one so we will divide and say you know that when we divide this number by 3 if there are is a remainder coming that missed is not effective if there is no remainder that means if the if there zero remainder is they are three is a factor right at that time easily you can use this method instead of the 
,previous first method so ninety we will divide by three three times three is nine zero will come now I'm bringing this number down inside zero no trees here with me 
,again multiply 0 will be the remainder right so according to me accordingly we know that zero remained is there so three is a factor of ninety why is that the remainder when we divide by three the remainder is zero next again we will check whether 4 is a factor of 5151 we will divide by four 4 times 1 is 4 1 means remaining bring this one down four times two is eight when we subtract 3 will come they are is a remainder coming that means four is not a factor four is not a factor of 51 why is that they are recently made the coming for sure so children for such type of creatures you can use this division method easily and remember that if you are given a 
,question to find all the factors of a number then the first method can be used okay now children our next part is multiples right no earlier we learnt about factors 
,no factors are totally different than the multiples multiples may simply you remember like this with the help of multiplication table we write multiples okay see when we talk about multiples of two what are the multiples of 2 2 4 6 8 10 all these are multiple software amo that's why I kept three dots here so we can see all these numbers can be divided by two without any remainder so remember that without any remainder if we can divide all these numbers they are multiples of the relevant one so simply simply you you can get all these with the help of the multiplication table remember that multiples can be obtained with the help of the multiplication table next multiples of three we know that 3 6 9 12 15 and so on these are the multiples of 3 very easy next multiples are 5 5 10 15 20 see these are the examples ok next one now it is a special thing here five multiples of two greater than 10 we are going to write only five multiples 5 only we are writing multiples of what multiples of 2 which are greater than 10 greater than 10 means can we write 2 4 6 8 and 10 10 even we cannot write the numbers which are bigger than 10 only we can run and 
,they should be multiples of 2 after 10 what is the next multiple of 2 to elaborate 12 is the first multiple 14 16 18 20 here we wrote five multiples of 2 greater than 10 next multiples of 3 multiples of 3 we are going to write you know 3 6 9 12 15 those are the multiples after you know but here we need to write between 6 and 20 
,between 6 and 20 whenever you see between and words we cannot take the boundary numbers as the solutions here we can see the first number 6 is a multiple of 3 but can we write it as an answer no remember when between and circa me we cannot write the boundary answers as the solutions here so six can be written twenty even can't be written there because they are in a boundary but it is not a multiple of three what are the others nine twelve fifteen eighteen only this much right we cannot write twenty-one we are given a boundary here next all the multiples of six is all the multiples all the multiples of five from five to twenty five when you'll see from 
,men too if the boundary answers can be written as the answer of course we should write okay we know that five entry if you are given four can we start from four here this is not a multiple of five right if it is an answer only if it is a solution only we can include to dance multiples of right from five to twenty five over five 
,ten fifteen twenty twenty-five so remember that whenever you see between and words we don't include the boundary answers though they are solutions or not we don't include them but when you see from two the boundaries should be included if they are solutions only just imagine we need to write the multiples of five but these two are not multiples of five just think four and twenty three other so we cannot write them as the solutions okay so this this is how we obtain multiples now the next part is divisibility under this children we will learn the divisibility by two by five and by 10 we will check whether a given number is divisible by two divisible by 
,five or nearby chain how do we identify the numbers which are divisible by two without any remainder the number is divisible by two how do we identify by the last digit okay we identify them by the last digit the last digit should be zero two four six or eight that means if the last digit is divisible by two the whole number is 
,divisible by two okay so here I have given you a few examples see every time the last digit is one of these fine si si and when we consider the divisibility by five 
,the last vid I have written here some multiples of five here all these numbers are divisible by five right observe the last digit five or zero every time it is five 
,was zero so remember that if a number is the how do we identify a number with a number is divisible by five the last digit is five all zero only that number is divisible by five then the next one is divisibility by ten say I have written some articles often and we know that all these are divisible by 10 without a remainder say the last digit it is every time zero so remember if the last digit is 0 the whole number is divisible by chain okay what are the three things we need to remember if the last digit is an even number or is if the last digit is divisible by two the whole number is divisible by two if the last digit is five or zero that number is divisible by five if the last digit is 0 the whole numbers divisible by 10 and children being the observe piece we can see there are some numbers in all the categories 
,here see 30 see there are some numbers which are you see there by 2 5 10 all and say that all the multiples of 10 all the numbers which are divisible by thing surely divisible by 5 into wall so these are the special things we can catch from here okay see all the multi all all the numbers which are divisible by 10 that means multiples of chain are divisible by 5 and to also write remember that you you
,
41eVMYPCWTQ,today let us learn prime and composite numbers before we begin let us understand what do we mean by natural numbers the set of numbers 1 2 3 4 5 6 7 8 and so on are 
,called natural numbers natural numbers can be divided into prime numbers and composite numbers before we proceed ahead remember that any given number will always have one and itself as its factors now let us start with prime numbers look at the examples the factors of 3 are 1 and 3 the factors of 11 are 1 and 11 the factors of 17 are 1 and 17 all these numbers have only two factors one and the number itself such numbers are called prime numbers thus prime numbers are natural numbers that have only two factors one and the number itself composite numbers look at the examples the factors of 6 are 1 2 3 & 6 the factors of 14 are 1 2 7 and 14 the factors of 20 are 1 2 5 10 and 20 all the above numbers have more than two factors these numbers are called composite numbers thus composite numbers are natural numbers that have more than two factors remember these points one is neither prime nor composite as it has only one factor two is the smallest and the only even prime number three is the smallest odd prime number now why don't you list all the prime and composite numbers from 1 to 100
,
qc8LHRMs6FQ,today we will learn about factors first let us understand what we mean by the factor of a number let us take the number 12 to begin with let us find out the pairs of numbers that give 12 as their product 1 into 12 is equal to 12 2 into 6 is equal to 12 3 into 4 is equal to 12 so we get 3 pairs of numbers that give us the product 12 no other pair of numbers when multiplied will give the product 12 now let us take each pair of number separately and understand what it means let us take the first pair 1 into 12 is equal to 12 here when we divide 12 by 1 we get the quotient as 12 and when we divide 12 by 12 we get the quotient as 1 in both the cases the remainder is 0 thus it means that 12 is divisible by 1 and 12 pair to 2 into 6 is equal to 12 here when we divide 12 by 2 we get the quotient as 6 and if we divide 12 by 6 we get the quotient as 2 in both the cases the remainder is 0 thus it means that 12 is divisible by 2 and 6 pair 3 3 into 4 is equal to 12 here if we divide 12 by 3 we get the quotient as 4 and if we divide 12 by 4 we get the quotient as 3 here also we get the remainder as 0 in both the divisions thus it means that 12 is divisible by 3 and 4 thus we now understand that 12 is divisible by 1 2 3 4 6 and 12 hence we see that the numbers 1 2 3 4 6 and 12 are the factors of 12 hence we can define factor of a number as a number which exactly divides the given number or we can see that factors are numbers you can multiply together to get given number now 
,let us look at certain points which we need to understand related to a factor with the help of some examples point 1 1 is a factor of every number look at the examples 1 into 6 is equal to 6 8 divided by 1 is equal to 8 thus 1 multiplied by any number gives the number itself as the product and any number divided by 1 also gives 
,the number itself as the quotient hence we conclude that 1 is a factor of every number point to every number is a factor of itself we know that 6 into 1 is equal to 
,6 8 divided by 8 is equal to 1 thus any number multiplied by 1 gives the number itself as the product and any number divided by itself gives 1 as the quotient hence 
,every number is a factor of itself 3 the factor of a number is always less than or equal to the number look at the factors of 12 which we found out earlier they are 
,1 2 3 4 6 and 12 note that the factors 1 2 3 4 & 6 are less than 12 and the last factor 12 is equal to 12 thus it shows that the factor of a number is always less than or equal to the number for every number except one has at least two factors one and the number itself let us look at the factors of 7d are one and seven no other 
,pair of numbers when multiplied together will give the product seven that is the number seven has at least two factors one and seven that is number one and the number seven itself hence we can see that every number except one has at least two factors one and the number itself do remember these points properly they will help you 
,to find the factors as we go further now let us find the factors of one more number let us take the number 30 the pairs of numbers which give the product 30 are 1 into 30 is equal to 30 2 into 15 is equal to 33 into 10 is equal to 30 5 into 6 is equal to 30 thus the factors of 30 are 1 2 3 5 6 10 15 and 30 now look at these factors and remember these points 1 a factor of a number exactly divides that number to one is a factor of every number three every number is a factor of itself for the 
,factor of a number is always less than or equal to the number five every number except one has at least two factors one and the number itself wasn't it easy to learn about factors why don't you try to find the factors of some numbers yourself
,
fjdeo6anRY4,in this video we're gonna talk about how to find the LCM and the HCF of two or three numbers let's start with the Alsea so these three letters stand for the least common multiple let's say if we want to find the least common multiple of two numbers we'll keep it simple two and three what is the LCM of two and three well let's write out the multiples of two multiples of two are 2 4 6 8 10 12 and so forth multiples of 3 are 3 6 9 12 15 18 and so forth you just have to keep adding 3 now looking at these two lists of numbers which one contains a common multiple 6 is a common multiple of 2 and 3 and 12 is also a common multiple now which of these represents the least common multiple 6 is going to be the least common multiple is less than 12 so the LCM of 2 & 3 is 6 now let's try another example how can we find the LCM 
,of these two numbers 3 & 4 if you want to try this example feel free to pause the video and see if you can get the answer so go ahead and work on it now let's find out the multiples of 3 so we have 3 3 plus 3 is 6 6 plus 3 is 9 9 plus 3 is 12 12 plus 3 is 15 and then 18 4 plus 4 is 8 8 plus 4 is 12 12 plus 4 16 and just keep adding 4 so we could see that 12 is the least common multiple of 3 & 4 an example with larger numbers what is the LCM of 12 and 16 go ahead and try that so common multiples of I mean multiples of 12 rather are 12 24 36 48 60 72 multiples of 16 are 32 48 64 and 80 so the least common multiple of 12 and 16 we could see is 48 48 is the lowest number that is divisible by 12 and by 16 48 divided by 12 is 4 and if you divided by 16 you'll get 3 so the LCM is 48 now let's try an example where we have three numbers let's say 2 3 & 4 what is the LCM of those 3 numbers let's write out the multiples of 2 so we have 4 6 8 10 12 14 multiples of 3 are 6 and 9 12 15 18 
